,product_name,product_price,sales,scraping_date,revenue,month,year,brand,Price Range,Global Price Range
0,Cetaphil Baby Gentle Wash & Shampoo 400ml Hypoallergenic,145900,34450,6/24/2025 9:36,5026255000,June,2025,Cetaphil,"141,750 - 157,500","135,791 - 181,054"
1,Cetaphil Baby Gentle Wash & Shampoo 230ml Hypoallergenic,92900,11188,6/24/2025 9:36,1039365200,June,2025,Cetaphil,"78,750 - 94,500","90,527 - 135,791"
2,Cetaphil Baby Lotion 400ml Sunflower Shea Hypoallergenic,174900,21070,6/24/2025 9:36,3685143000,June,2025,Cetaphil,"173,250 - 189,000","135,791 - 181,054"
3,Cetaphil Baby Moist Bath & Wash Almond Oil 230ml,108900,7900,6/24/2025 9:36,860310000,June,2025,Cetaphil,"94,500 - 110,250","90,527 - 135,791"
4,Cetaphil Baby Moist Bath & Wash 400ml Almond Oil,166900,6200,6/24/2025 9:36,1034780000,June,2025,Cetaphil,"157,500 - 173,250","135,791 - 181,054"
0,Cetaphil Baby Cream Calendula Glycerin Shea Butter,78900,26831,6/24/2025 9:36,2116965900,June,2025,Cetaphil,"78,750 - 94,500","45,264 - 90,527"
1,Cetaphil Baby Wash & Shampoo 400ml Untuk Kulit Sensitif,163900,38769,6/24/2025 9:36,6354239100,June,2025,Cetaphil,"157,500 - 173,250","135,791 - 181,054"
2,Cetaphil Baby Wash & Shampoo Calendula 230ml,116900,9300,6/24/2025 9:36,1087170000,June,2025,Cetaphil,"110,250 - 126,000","90,527 - 135,791"
3,Cetaphil Baby Lotion Calendula 400ml Hypoallergenic,204900,16530,6/24/2025 9:36,3386997000,June,2025,Cetaphil,"204,750 - 220,500","181,054 - 226,318"
0,Paket Bundling (2pcs) Beeme Nourishing Balm | SKINCARE IBU DAN ANAK,124000,39845,6/24/2025 9:37,4940780000,June,2025,Beeme,"107,727 - 125,682","90,527 - 135,791"
1,Beeme Nourishing Balm & Honey Sunscreen Mom Baby,154000,13768,6/24/2025 9:37,2120272000,June,2025,Beeme,"143,636 - 161,591","135,791 - 181,054"
2,Paket Beeme Multipurpose Balm 15g + Beeme Nourishing Balm 15g,179000,963,6/24/2025 9:37,172377000,June,2025,Beeme,"161,591 - 179,545","135,791 - 181,054"
3,Paket Bundling (2Pcs) Beeme Multipurpose Balm x Dwihanda,193000,920,6/24/2025 9:37,177560000,June,2025,Beeme,"179,545 - 197,500","181,054 - 226,318"
4,Paket Beeme Honey Sunscreen Lotion SPF 50+++ 25g + Multipurpose Balm X Dwihanda 15g,223000,202,6/24/2025 9:37,45046000,June,2025,Beeme,"215,455 - 233,409","181,054 - 226,318"
5,Paket Bundling (2Pcs) Beeme Honey Sunscreen Lotion SPF 50+++ with Niacinamide 25g,253000,1600,6/24/2025 9:37,404800000,June,2025,Beeme,"251,364 - 269,318","226,318 - 271,582"
6,Beeme Nourishing Balm 15g + Beeme SootheKids Balm 15g,145000,120,6/24/2025 9:37,17400000,June,2025,Beeme,"143,636 - 161,591","135,791 - 181,054"
7,Beeme Relaxing Package [Pouch | SootheBaby or SootheKids 15g | Nourishing Balm 15g],138000,57,6/24/2025 9:37,7866000,June,2025,Beeme,"125,682 - 143,636","135,791 - 181,054"
8,Beeme Multipurpose Balm 15g + Beeme SootheKids Balm 15g,158000,39,6/24/2025 9:37,6162000,June,2025,Beeme,"143,636 - 161,591","135,791 - 181,054"
9,Beeme SootheKids Balm 15g + Beeme Honey Sunscreen Lotion SPF 50 +++,189000,78,6/24/2025 9:37,14742000,June,2025,Beeme,"179,545 - 197,500","181,054 - 226,318"
10,Beeme SootheBaby & SooTheKids Balm 15g | Calming Rub,64000,326,6/24/2025 9:37,20864000,June,2025,Beeme,"53,864 - 71,818","45,264 - 90,527"
11,Beeme Daily Nourishing Hair Lotion 100 mL,55500,2555,6/24/2025 9:37,141802500,June,2025,Beeme,"53,864 - 71,818","45,264 - 90,527"
0,Johnsons Baby Oil - 125ml,28100,20775,6/24/2025 9:35,583777500,June,2025,Johnsons,"0 - 46,460","0 - 45,264"
1,Johnsons Powder Mist Baby Cologne - Minyak Wangi Bayi 100ml,23800,7600,6/24/2025 9:35,180880000,June,2025,Johnsons,"0 - 46,460","0 - 45,264"
2,Johnsons Bedtime Hair & Body Baby Bath - Sabun Bayi 2in1 500ml,54800,1400,6/24/2025 9:35,76720000,June,2025,Johnsons,"46,460 - 92,920","45,264 - 90,527"
3,Johnsons Bedtime Baby Lotion - Losion Bayi 100ml,21200,37981,6/24/2025 9:35,805197200,June,2025,Johnsons,"0 - 46,460","0 - 45,264"
4,Johnsons Active Kids Soft & Smooth Shampoo - Shampo Anak-anak 200ml,26500,24825,6/24/2025 9:35,657862500,June,2025,Johnsons,"0 - 46,460","0 - 45,264"
5,Johnsons Milk + Rice Baby Cream - Krim Bayi 50g,25100,4300,6/24/2025 9:35,107930000,June,2025,Johnsons,"0 - 46,460","0 - 45,264"
6,Johnsons Bedtime Hair & Body Baby Bath - Sabun Bayi 2in1 200ml,23300,10548,6/24/2025 9:35,245768400,June,2025,Johnsons,"0 - 46,460","0 - 45,264"
7,Johnsons Brisa Baby Cologne - Minyak Wangi Bayi 100ml,23800,10055,6/24/2025 9:35,239309000,June,2025,Johnsons,"0 - 46,460","0 - 45,264"
8,Johnsons Active Kids Clean & Fresh Shampoo - Shampo Anak-anak 200ml,26500,13346,6/24/2025 9:35,353669000,June,2025,Johnsons,"0 - 46,460","0 - 45,264"
9,Johnsons Active Fresh Baby Bath - Sabun Anak-anak 200ml,24100,8100,6/24/2025 9:35,195210000,June,2025,Johnsons,"0 - 46,460","0 - 45,264"
